channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15
400,12963,12883,17316,16676,13715,14243,22069,18628,34648,11346,26262,16195,52732,43114,384
384,13171,13011,17700,16099,12755,14163,22213,18580,34552,11138,24341,15843,49468,45995,384
384,13443,12931,18532,16708,13075,14227,22229,18340,34520,11362,20180,13379,43578,45579,336
352,13267,12947,18676,17444,13747,14083,22453,18612,34568,11218,17236,15075,49676,47243,464
416,13139,12899,18532,17380,13843,14227,22373,18484,34600,11394,19108,13027,48395,42346,320
400,13315,12963,18596,17412,13843,14371,22517,18452,33592,11090,18148,13203,52620,43290,400
320,13331,12963,18852,17604,14291,14147,22485,18484,33720,11378,17300,10978,51388,46251,416
384,13315,12931,18708,17588,14675,14339,22661,18788,33576,11314,18836,14611,46731,41514,336
416,13507,12883,18740,17604,14771,14339,22693,18580,33736,11186,17428,13027,38745,35256,368
352,13363,12979,18692,17684,14915,14371,22533,18436,33752,11154,15779,12082,37897,33176,432
384,13523,12899,18452,17540,14867,14371,22485,18484,33544,11250,17684,10994,39273,35624,336
400,12851,12995,18388,17492,14339,14371,22469,18580,33576,11090,16035,11314,33960,35912,400
416,13395,13075,17860,17540,14259,14307,22549,18708,33640,11298,15331,17540,36440,33240,320
352,13251,12963,17028,17444,12675,14483,22309,18404,33768,11346,14275,24998,24918,29271,384
352,13267,12547,14179,16355,13475,14403,20436,18260,34024,432,18644,31687,20789,30407,320
400,13075,12739,15283,16291,15395,14387,19092,17380,33880,352,17380,46779,18660,31783,304
384,12819,12627,15779,16932,16211,14243,18820,17172,33864,432,21253,56173,27334,36184,304
400,11202,12595,15923,17252,16660,14051,18708,17124,31511,384,20997,55837,24309,36024,320
352,11874,12691,15587,16708,17476,14147,18820,17156,31367,320,20965,56237,32936,30887,416
416,11618,12611,15043,15971,16836,14259,18132,17172,31383,336,24934,56077,45355,39641,336
416,10834,12675,14819,16147,17236,14339,19204,18036,31927,336,26246,55965,49484,38745,400
320,11346,12611,15027,16147,17412,14595,19140,17892,31911,400,24405,55725,56029,48475,352
400,11874,12755,11394,16772,17636,14499,19204,18324,32503,384,22293,41738,47723,34984,496
416,12579,12723,10706,16548,17412,14403,19364,18836,32423,416,21093,54525,51052,31239,400
416,14307,12707,9602,16980,18100,14563,19476,19460,32471,432,22581,43322,40345,28727,320
416,14019,12851,11234,17076,18436,14403,19460,19172,32295,496,19076,39193,37033,28054,320
416,14387,12707,11938,16532,18596,14531,19284,19556,32343,416,20116,39129,36520,32455,352
416,14723,12691,13075,15555,18596,14515,19492,19476,32583,432,19380,28134,26822,35496,416
400,10722,12691,11234,16259,18964,14435,19988,18852,32776,336,18980,29879,21653,38569,384
400,14003,12787,15043,18020,18628,14531,20324,18916,33160,336,19716,24245,19236,41226,320
352,9282,12851,16179,18948,18724,14387,20597,19092,33288,512,17668,19108,16644,38121,336
384,9154,12963,18580,19380,18612,14243,20805,18836,33528,480,19540,20677,17556,37993,384
384,12867,12947,17524,19668,18228,14227,20693,18836,34440,496,17700,19924,17428,36312,304
352,13011,12979,16003,20052,18260,14291,20501,18708,34568,480,20917,20212,17540,37273,336
400,12771,12963,17028,20196,17668,14387,20132,18468,34088,512,17492,20100,15747,36696,448
400,12643,12899,18004,20132,16660,14035,19156,17860,34856,416,19428,17204,15587,33992,336
384,8978,13011,13523,19972,17028,13859,19124,17556,35144,512,19092,17380,16420,33000,336
416,13331,13059,10786,20068,17332,14051,18948,17540,35208,432,18020,16163,15363,31463,400
416,12819,13155,12307,19716,17124,13491,18052,17700,35016,352,17972,14211,13363,27798,400
416,13859,13219,14787,19380,14083,13987,16211,17508,35656,400,20100,17748,14611,28086,384
416,16900,13315,11858,18324,14035,13811,15715,17204,36376,320,23397,12867,13139,24758,320
416,17876,13315,12467,17764,13107,13827,13475,15779,34888,384,22501,8594,11874,22085,336
384,17412,13491,12291,17316,10338,13747,12146,15587,34520,336,22037,9026,12339,21509,400
416,22197,13667,9506,17796,9202,13747,10642,15107,34088,512,24213,9618,15555,21717,336
352,23957,13971,5633,16532,9218,12755,9538,14691,34504,416,24565,10466,16019,19348,352
416,24485,14275,5713,16596,8161,12435,8161,13827,33000,336,36632,13219,26534,23429,416
400,28342,14419,4625,16227,6369,12194,7361,13635,32359,336,55661,13875,38121,21045,352
384,27318,14515,2176,15843,7089,12146,6833,13459,31079,320,53645,18372,42538,22613,512
400,28390,14531,1664,16003,7345,12291,6305,13331,31191,480,47627,16644,37801,21717,352
384,29063,14723,400,16099,7745,12371,6193,13331,30343,352,51820,16355,40953,20485,336
384,28839,14595,464,15971,7681,12242,6193,13443,30279,368,55373,16900,45723,21493,304
480,29015,14627,512,16436,8065,12258,6241,13587,29607,512,47051,16195,43738,24197,400
368,29223,14803,336,15555,8194,12627,6369,15027,29591,352,50076,16195,41482,30183,336
336,29367,14643,496,17124,7441,12819,7073,18900,29239,432,56141,18884,37017,35544,480
400,29159,14627,416,17124,7441,13219,7361,19476,29351,496,56157,14387,39609,31703,320
400,28839,14611,384,17028,7761,13379,7569,19556,29015,480,51148,13795,32840,31431,336
400,28839,14627,432,16996,8161,13459,7729,19572,28951,384,41386,13875,27494,30151,464
288,29463,14675,544,16740,8113,13747,8145,20004,28695,448,40841,14899,31335,30807,464
400,28887,14691,480,16836,9938,13475,8226,20020,28086,336,45115,16404,33064,33352,352
352,29079,14675,960,16820,10146,13779,8994,19476,27718,336,42602,20420,32279,50188,304
400,29399,14883,2880,16852,9874,14035,10306,19556,27958,320,41146,20485,33224,39001,304
400,29671,14979,4145,16179,10258,14163,10882,19924,27542,400,38745,17060,27158,37001,432
416,29175,14723,4897,14963,10802,14323,11314,20148,28470,336,33272,13907,23781,37065,432
400,29175,14291,7057,16019,11570,13955,12451,19860,30359,512,28214,11954,24678,46779,352
400,24165,14211,7633,17092,12739,14099,13827,20052,30983,320,27590,15411,35464,45771,512
400,22069,13955,10994,16820,13315,14227,16083,20917,31719,432,30423,25094,41738,44906,304
384,22213,13763,12499,18308,12579,14003,18564,23269,31223,432,26710,21397,38201,39817,464
400,22309,13667,14275,18868,14787,14115,19540,24197,27830,12451,26022,21253,42138,45963,352
400,21061,13747,15523,19236,16259,14003,20853,25558,26598,12291,30535,21829,44570,47323,400
400,20709,14227,15523,19668,15699,14243,21477,26150,25942,12435,32984,23365,41962,47371,400
368,20901,14243,16740,19796,16404,14035,21749,25782,25958,12467,41578,28150,49452,47035,384
368,20645,14323,16548,19892,17236,14019,22021,25766,25574,12307,44858,30855,40601,40953,352
400,20565,14419,17636,20180,18244,14051,22229,26102,25574,12274,38601,33976,36696,40313,432
400,20773,14467,17684,20244,18292,14147,22197,26198,25318,12355,43466,30055,35176,40393,304
384,21125,14435,17956,20164,18244,14147,22485,26022,25254,12355,39273,36216,40665,40953,336
384,20773,14531,17876,20100,19092,14067,22293,26166,25094,12258,34504,30695,48347,40393,384
400,20629,14531,17892,19972,18820,14291,22549,26390,560,12194,38105,50572,56109,46795,432
400,21077,14739,17908,20148,17668,14243,22453,26150,560,12226,46427,38041,47051,50060,464
384,21189,14659,17220,20196,18308,14147,22549,26646,448,12291,36744,36328,42522,41114,336
512,21429,14755,17060,20148,18324,14291,22181,26550,560,12162,36360,39113,37305,47435,384
448,21205,14691,17460,20260,18372,14275,22229,26678,24501,12274,30071,33752,32327,44378,336
384,21285,14755,17540,20116,18404,14275,22213,26518,23653,12323,29671,33864,31687,40297,512
400,21317,14787,17588,20116,18884,14355,22213,26342,24565,12274,28214,50268,50252,54941,320
384,21429,14835,17172,20132,19300,14291,22277,26438,24389,12307,28310,37529,38697,50828,432
352,21381,14755,17252,20276,19524,14243,22261,26678,24277,12258,32439,40521,41194,45259,320
400,21429,14771,17364,20068,18900,14243,22293,26374,24213,12323,31911,37961,39193,51740,304
368,21557,14819,17444,20324,19156,14307,22453,26246,24229,12419,29511,53725,53036,55085,352
400,21493,14851,17540,20132,20308,14371,22261,26390,23973,12307,27334,40249,44298,52700,352
352,21397,14835,17508,20132,20308,14211,22437,26486,24021,12323,25510,32984,39065,47787,400
400,21605,14771,17540,20116,19732,14179,22293,26646,23989,12387,27814,31207,42282,54205,416
400,21461,14819,17412,20068,18740,14275,22341,26086,464,12419,26534,37001,37961,48971,320
352,21573,14707,16580,20164,19780,14275,22597,26470,464,12242,22885,23765,25926,34760,320
400,21685,14371,14691,20164,20517,14051,21509,26182,23589,11730,20821,15283,18516,26182,352
400,20789,13699,14915,17940,19204,13971,19892,25606,25862,9986,19684,13923,14211,20869,448
400,17444,13539,10146,18324,15955,13635,17508,24229,30407,10386,20260,13763,13075,21061,512
304,15363,13619,8161,19284,15427,13731,17156,21461,31399,10546,20725,13635,16131,30023,480
384,13795,13667,16051,19028,15027,12627,17988,16227,31319,10290,31975,15539,18468,40729,416
320,14099,13539,20228,19604,15027,12515,18948,15155,31751,10818,33032,13283,17828,49003,448
400,13875,13699,16452,19380,14739,12691,19428,15235,31943,10690,30087,14419,19220,46443,352
416,13923,13715,18980,19732,16131,12675,19396,15299,31863,10882,29783,14627,19172,46379,352
416,288,13699,19956,19620,16019,12739,19812,15363,31783,10834,31431,14051,19892,41882,512
416,336,13619,20789,19796,15939,12867,19844,15219,31927,10578,25862,14147,20036,47675,336
400,11426,13779,21749,19668,15827,12755,19556,15427,32023,10898,26566,13123,20661,50540,352
336,11282,13699,22149,19908,14819,12915,19588,15283,32007,10690,21733,13571,17700,48843,416
400,11346,13715,22069,19876,15331,12803,19860,15235,31975,10706,18148,13907,17284,32727,368
352,11938,13443,20020,20036,15747,12803,19444,15235,31927,10770,16740,12675,13491,24469,464
416,11810,13059,8370,18692,14931,12499,18484,15411,32199,10898,15923,11042,12355,23685,416
416,11970,12723,12707,18596,15203,12819,17956,15539,32327,10626,16836,10898,13203,24485,480
400,12611,12627,17540,18532,13235,12947,17236,16836,33080,10594,16468,14003,15683,26390,528
400,12707,12002,14179,18740,13619,12851,17060,17204,34344,10738,13059,8466,12867,23973,320
400,11074,11746,12803,18548,14595,13075,15683,16804,34616,10402,13971,8274,11282,21221,336
384,12419,11394,13731,17044,12755,12467,14851,14419,34648,10434,17620,9186,10498,20308,320
320,11826,11346,9394,16596,11442,11826,13267,12130,34488,10434,17364,10322,10034,18660,464
320,11474,11458,9522,14163,8882,11458,11522,10114,34440,10306,18852,12995,10306,18324,464
416,11586,11474,8754,14099,7937,11218,9442,10034,36104,9778,18196,16836,9778,17428,336
400,11602,11474,6497,14419,8994,11026,8290,7825,37673,8914,17524,18436,9922,16932,384
400,10722,11442,6081,13523,6993,10818,7505,5057,38057,8145,18436,20132,9794,16195,480
400,11794,11362,7121,11538,6497,10626,7265,8402,39321,7057,18884,20933,9938,16339,400
304,12066,11154,5905,10658,6433,10210,6577,7841,39833,6849,19412,21397,9874,17252,320
400,11858,11170,7233,8322,6609,9538,6065,7009,40265,6305,17476,19780,9106,15795,432
416,11842,10962,4721,9058,7249,9682,6033,6865,40329,6465,17380,16676,8978,15043,432
400,11282,10850,5201,9170,7297,9314,6065,7121,39769,6881,14643,14547,8434,14339,320
416,12226,10802,7105,9314,7297,9522,7265,8210,37561,7697,16083,11874,8626,14787,352
